radius,transport_cost,discount_rate,yield,breakeven_price
farmgate,0,0.07,1.305084745762712,214.54545454545453
farmgate,0,0.07,1.457627118644068,192.09302325581393
farmgate,0,0.07,1.6101694915254239,173.89473684210523
farmgate,0,0.07,1.7627118644067798,158.8461538461538
farmgate,0,0.07,1.9152542372881356,146.19469026548668
farmgate,0,0.07,2.0677966101694913,135.40983606557378
farmgate,0,0.07,2.2203389830508478,126.10687022900758
farmgate,0,0.07,2.3728813559322033,118.0
farmgate,0,0.07,2.5254237288135597,110.87248322147647
farmgate,0,0.07,2.6779661016949152,104.55696202531642
farmgate,0,0.07,2.830508474576271,98.92215568862274
farmgate,0,0.07,2.983050847457627,93.86363636363636
farmgate,0,0.07,3.135593220338983,89.2972972972973
farmgate,0,0.07,3.288135593220339,85.15463917525771
farmgate,0,0.07,3.440677966101695,81.37931034482757
farmgate,0,0.07,3.593220338983051,77.92452830188678
farmgate,0,0.07,3.745762711864407,74.75113122171946
farmgate,0,0.07,3.898305084745763,71.82608695652173
farmgate,0,0.07,4.050847457627119,69.12133891213388
farmgate,0,0.07,4.203389830508475,66.61290322580643
farmgate,0,0.07,4.3559322033898304,64.28015564202335
farmgate,0,0.07,4.508474576271187,62.10526315789472
farmgate,0,0.07,4.661016949152542,60.07272727272726
farmgate,0,0.07,4.813559322033898,58.16901408450705
farmgate,0,0.07,4.966101694915254,56.38225255972696
farmgate,0,0.07,5.118644067796611,54.701986754966875
farmgate,0,0.07,5.271186440677966,53.11897106109325
farmgate,0,0.07,5.423728813559323,51.62499999999999
farmgate,0,0.07,5.576271186440678,50.21276595744679
farmgate,0,0.07,5.728813559322035,48.87573964497041
farmgate,0,0.07,5.88135593220339,47.60806916426512
farmgate,0,0.07,6.033898305084746,46.40449438202246
farmgate,0,0.07,6.186440677966102,45.26027397260272
farmgate,0,0.07,6.338983050847458,44.1711229946524
farmgate,0,0.07,6.491525423728814,43.1331592689295
farmgate,0,0.07,6.6440677966101696,42.14285714285714
farmgate,0,0.07,6.796610169491526,41.19700748129675
farmgate,0,0.07,6.9491525423728815,40.292682926829265
farmgate,0,0.07,7.101694915254238,39.42720763723149
farmgate,0,0.07,7.254237288135593,38.598130841121495
farmgate,0,0.07,7.40677966101695,37.803203661327224
farmgate,0,0.07,7.559322033898305,37.04035874439462
farmgate,0,0.07,7.711864406779662,36.3076923076923
farmgate,0,0.07,7.864406779661017,35.60344827586206
farmgate,0,0.07,8.016949152542374,34.92600422832981
farmgate,0,0.07,8.16949152542373,34.27385892116182
farmgate,0,0.07,8.322033898305085,33.64562118126272
farmgate,0,0.07,8.474576271186441,33.04
farmgate,0,0.07,8.627118644067796,32.45579567779961
farmgate,0,0.07,8.779661016949152,31.891891891891884
farmgate,0,0.07,8.932203389830509,31.34724857685009
farmgate,0,0.07,9.084745762711865,30.82089552238806
farmgate,0,0.07,9.237288135593221,30.311926605504578
farmgate,0,0.07,9.389830508474576,29.819494584837543
farmgate,0,0.07,9.542372881355933,29.342806394316156
farmgate,0,0.07,9.694915254237289,28.881118881118873
farmgate,0,0.07,9.847457627118645,28.433734939759024
farmgate,0,0.07,10.0,27.999999999999993
farmgate,0,0.08,1.0,279.99999999999994
farmgate,0,0.08,1.152542372881356,242.94117647058823
farmgate,0,0.08,1.305084745762712,214.54545454545453
farmgate,0,0.08,1.457627118644068,192.09302325581396
farmgate,0,0.08,1.6101694915254239,173.89473684210526
farmgate,0,0.08,1.7627118644067798,158.8461538461538
farmgate,0,0.08,1.9152542372881356,146.19469026548668
farmgate,0,0.08,2.0677966101694913,135.40983606557376
farmgate,0,0.08,2.2203389830508478,126.10687022900757
farmgate,0,0.08,2.3728813559322033,118.00000000000001
farmgate,0,0.08,2.5254237288135597,110.87248322147649
farmgate,0,0.08,2.6779661016949152,104.55696202531642
farmgate,0,0.08,2.830508474576271,98.92215568862274
farmgate,0,0.08,2.983050847457627,93.86363636363635
farmgate,0,0.08,3.135593220338983,89.29729729729729
farmgate,0,0.08,3.288135593220339,85.15463917525773
farmgate,0,0.08,3.440677966101695,81.37931034482757
farmgate,0,0.08,3.593220338983051,77.92452830188678
farmgate,0,0.08,3.745762711864407,74.75113122171945
farmgate,0,0.08,3.898305084745763,71.82608695652173
farmgate,0,0.08,4.050847457627119,69.12133891213388
farmgate,0,0.08,4.203389830508475,66.61290322580645
farmgate,0,0.08,4.3559322033898304,64.28015564202335
farmgate,0,0.08,4.508474576271187,62.10526315789472
farmgate,0,0.08,4.661016949152542,60.07272727272727
farmgate,0,0.08,4.813559322033898,58.16901408450705
farmgate,0,0.08,4.966101694915254,56.38225255972696
farmgate,0,0.08,5.118644067796611,54.70198675496688
farmgate,0,0.08,5.271186440677966,53.118971061093234
farmgate,0,0.08,5.423728813559323,51.625
farmgate,0,0.08,5.576271186440678,50.212765957446805
farmgate,0,0.08,5.728813559322035,48.8757396449704
farmgate,0,0.08,5.88135593220339,47.60806916426512
farmgate,0,0.08,6.033898305084746,46.40449438202246
farmgate,0,0.08,6.186440677966102,45.260273972602725
farmgate,0,0.08,6.338983050847458,44.17112299465239
farmgate,0,0.08,6.491525423728814,43.13315926892949
farmgate,0,0.08,6.6440677966101696,42.14285714285714
farmgate,0,0.08,6.796610169491526,41.19700748129675
farmgate,0,0.08,6.9491525423728815,40.29268292682926
farmgate,0,0.08,7.101694915254238,39.42720763723149
farmgate,0,0.08,7.254237288135593,38.59813084112149
farmgate,0,0.08,7.40677966101695,37.80320366132722
farmgate,0,0.08,7.559322033898305,37.04035874439462
farmgate,0,0.08,7.711864406779662,36.3076923076923
farmgate,0,0.08,7.864406779661017,35.603448275862064
farmgate,0,0.08,8.016949152542374,34.9260042283298
farmgate,0,0.08,8.16949152542373,34.27385892116182
farmgate,0,0.08,8.322033898305085,33.645621181262726
farmgate,0,0.08,8.474576271186441,33.03999999999999
farmgate,0,0.08,8.627118644067796,32.455795677799614
farmgate,0,0.08,8.779661016949152,31.891891891891884
farmgate,0,0.08,8.932203389830509,31.347248576850088
farmgate,0,0.08,9.084745762711865,30.820895522388053
farmgate,0,0.08,9.237288135593221,30.31192660550458
farmgate,0,0.08,9.389830508474576,29.81949458483754
farmgate,0,0.08,9.542372881355933,29.342806394316156
farmgate,0,0.08,9.694915254237289,28.88111888111888
farmgate,0,0.08,9.847457627118645,28.433734939759027
farmgate,0,0.08,10.0,27.999999999999993
farmgate,0,0.09,1.0,280.0
farmgate,0,0.09,1.152542372881356,242.9411764705882
farmgate,0,0.09,1.305084745762712,214.54545454545453
farmgate,0,0.09,1.457627118644068,192.09302325581393
farmgate,0,0.09,1.6101694915254239,173.8947368421052
farmgate,0,0.09,1.7627118644067798,158.8461538461538
farmgate,0,0.09,1.9152542372881356,146.1946902654867
farmgate,0,0.09,2.0677966101694913,135.40983606557378
farmgate,0,0.09,2.2203389830508478,126.1068702290076
farmgate,0,0.09,2.3728813559322033,118.0
farmgate,0,0.09,2.5254237288135597,110.8724832214765
farmgate,0,0.09,2.6779661016949152,104.55696202531644
farmgate,0,0.09,2.830508474576271,98.92215568862274
farmgate,0,0.09,2.983050847457627,93.86363636363636
farmgate,0,0.09,3.135593220338983,89.29729729729729
farmgate,0,0.09,3.288135593220339,85.15463917525771
farmgate,0,0.09,3.440677966101695,81.37931034482757
farmgate,0,0.09,3.593220338983051,77.92452830188678
farmgate,0,0.09,3.745762711864407,74.75113122171945
farmgate,0,0.09,3.898305084745763,71.82608695652172
farmgate,0,0.09,4.050847457627119,69.12133891213387
farmgate,0,0.09,4.203389830508475,66.61290322580643
farmgate,0,0.09,4.3559322033898304,64.28015564202335
farmgate,0,0.09,4.508474576271187,62.10526315789471
farmgate,0,0.09,4.661016949152542,60.07272727272727
farmgate,0,0.09,4.813559322033898,58.16901408450705
farmgate,0,0.09,4.966101694915254,56.38225255972696
farmgate,0,0.09,5.118644067796611,54.70198675496688
farmgate,0,0.09,5.271186440677966,53.11897106109325
farmgate,0,0.09,5.423728813559323,51.624999999999986
farmgate,0,0.09,5.576271186440678,50.21276595744679
farmgate,0,0.09,5.728813559322035,48.875739644970416
farmgate,0,0.09,5.88135593220339,47.608069164265125
farmgate,0,0.09,6.033898305084746,46.40449438202247
farmgate,0,0.09,6.186440677966102,45.26027397260273
farmgate,0,0.09,6.338983050847458,44.17112299465241
farmgate,0,0.09,6.491525423728814,43.133159268929504
farmgate,0,0.09,6.6440677966101696,42.14285714285713
farmgate,0,0.09,6.796610169491526,41.19700748129676
farmgate,0,0.09,6.9491525423728815,40.29268292682927
farmgate,0,0.09,7.101694915254238,39.427207637231504
farmgate,0,0.09,7.254237288135593,38.598130841121495
farmgate,0,0.09,7.40677966101695,37.80320366132722
farmgate,0,0.09,7.559322033898305,37.04035874439461
farmgate,0,0.09,7.711864406779662,36.30769230769231
farmgate,0,0.09,7.864406779661017,35.603448275862064
farmgate,0,0.09,8.016949152542374,34.92600422832981
farmgate,0,0.09,8.16949152542373,34.27385892116182
farmgate,0,0.09,8.322033898305085,33.645621181262726
farmgate,0,0.09,8.474576271186441,33.04
farmgate,0,0.09,8.627118644067796,32.45579567779961
farmgate,0,0.09,8.779661016949152,31.891891891891895
farmgate,0,0.09,8.932203389830509,31.347248576850088
farmgate,0,0.09,9.084745762711865,30.82089552238806
farmgate,0,0.09,9.237288135593221,30.31192660550459
farmgate,0,0.09,9.389830508474576,29.819494584837535
farmgate,0,0.09,9.542372881355933,29.342806394316156
farmgate,0,0.09,9.694915254237289,28.881118881118876
farmgate,0,0.09,9.847457627118645,28.433734939759034
farmgate,0,0.09,10.0,27.999999999999996
8 km,11,0.05,1.0,291.0
8 km,11,0.05,1.152542372881356,253.9411764705882
8 km,11,0.05,1.305084745762712,225.5454545454545
8 km,11,0.05,1.457627118644068,203.09302325581396
8 km,11,0.05,1.6101694915254239,184.89473684210532
8 km,11,0.05,1.7627118644067798,169.84615384615378
8 km,11,0.05,1.9152542372881356,157.19469026548674
8 km,11,0.05,2.0677966101694913,146.40983606557378
8 km,11,0.05,2.2203389830508478,137.10687022900763
8 km,11,0.05,2.3728813559322033,129.00000000000003
8 km,11,0.05,2.5254237288135597,121.87248322147647
8 km,11,0.05,2.6779661016949152,115.55696202531647
8 km,11,0.05,2.830508474576271,109.92215568862277
8 km,11,0.05,2.983050847457627,104.86363636363635
8 km,11,0.05,3.135593220338983,100.2972972972973
8 km,11,0.05,3.288135593220339,96.15463917525771
8 km,11,0.05,3.440677966101695,92.37931034482757
8 km,11,0.05,3.593220338983051,88.92452830188678
8 km,11,0.05,3.745762711864407,85.75113122171943
8 km,11,0.05,3.898305084745763,82.82608695652175
8 km,11,0.05,4.050847457627119,80.1213389121339
8 km,11,0.05,4.203389830508475,77.61290322580643
8 km,11,0.05,4.3559322033898304,75.28015564202335
8 km,11,0.05,4.508474576271187,73.10526315789473
8 km,11,0.05,4.661016949152542,71.07272727272726
8 km,11,0.05,4.813559322033898,69.16901408450704
8 km,11,0.05,4.966101694915254,67.38225255972696
8 km,11,0.05,5.118644067796611,65.70198675496688
8 km,11,0.05,5.271186440677966,64.11897106109323
8 km,11,0.05,5.423728813559323,62.624999999999964
8 km,11,0.05,5.576271186440678,61.21276595744682
8 km,11,0.05,5.728813559322035,59.875739644970416
8 km,11,0.05,5.88135593220339,58.608069164265146
8 km,11,0.05,6.033898305084746,57.40449438202247
