radius,transport_cost,discount_rate,price,yield,npv,annualized_npv
Farmgate,0,0.09,90.0,3.3933333333333335,-4034.3452526823453,-628.6320399970464
Farmgate,0,0.09,90.0,4.896666666666667,-3290.1646060825046,-512.6737447352963
Farmgate,0,0.09,90.0,6.4,-2545.9839594826635,-396.71544947354624
Farmgate,0,0.09,100.0,1.89,-4674.571618271566,-728.3921698452926
Farmgate,0,0.09,100.0,3.3933333333333335,-3847.7042331606312,-599.5496195544591
Farmgate,0,0.09,100.0,4.896666666666667,-3020.8368480496965,-470.7070692636257
Farmgate,0,0.09,100.0,6.4,-2193.9694629387627,-341.8645189727924
Farmgate,0,0.09,110.0,1.89,-4570.6173372609455,-712.1940044317888
Farmgate,0,0.09,110.0,3.3933333333333335,-3661.063213638917,-570.467199111872
Farmgate,0,0.09,110.0,4.896666666666667,-2751.5090900168884,-428.74039379195506
Farmgate,0,0.09,110.0,6.4,-1841.9549663948615,-287.01358847203846
Farmgate,0,0.09,120.0,1.89,-4466.663056250325,-695.995839018285
Farmgate,0,0.09,120.0,3.3933333333333335,-3474.4221941172027,-541.3847786692846
Farmgate,0,0.09,120.0,4.896666666666667,-2482.1813319840817,-386.7737183202847
Farmgate,0,0.09,120.0,6.4,-1489.9404698509602,-232.16265797128455
Farmgate,0,0.09,130.0,1.89,-4362.708775239704,-679.7976736047809
Farmgate,0,0.09,130.0,3.3933333333333335,-3287.7811745954887,-512.3023582266975
Farmgate,0,0.09,130.0,4.896666666666667,-2212.853573951274,-344.80704284861406
Farmgate,0,0.09,130.0,6.4,-1137.925973307059,-177.3117274705306
Farmgate,0,0.09,140.0,1.89,-4258.754494229083,-663.5995081912771
Farmgate,0,0.09,140.0,3.3933333333333335,-3101.1401550737746,-483.2199377841103
Farmgate,0,0.09,140.0,4.896666666666667,-1943.5258159184657,-302.8403673769434
Farmgate,0,0.09,140.0,6.4,-785.9114767631577,-122.46079696977668
8 km,11,0.05,20.0,1.89,-6529.418228930044,-845.5895325092898
8 km,11,0.05,20.0,3.3933333333333335,-6437.828869623888,-833.7282914609876
8 km,11,0.05,20.0,4.896666666666667,-6346.239510317732,-821.8670504126854
8 km,11,0.05,20.0,6.4,-6254.650151011576,-810.0058093643831
8 km,11,0.05,30.0,1.89,-6401.477438768452,-829.0206148586682
8 km,11,0.05,30.0,3.3933333333333335,-6208.122124677675,-803.9802170900298
8 km,11,0.05,30.0,4.896666666666667,-6014.7668105869025,-778.939819321392
8 km,11,0.05,30.0,6.4,-5821.411496496128,-753.8994215527538
