ObjectID,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Minutes,Total_TimeAt1KPH,Total_TravelTime,Total_TruckMinutes,Total_TruckTravelTime,Total_WalkTime,Total_Kilometers,Total_Miles,Shape_Length
4740,1,1,F070802060302_399 - Go To Location 1,2,1,4740,,,,,,,,,30.4689891,,33.10229838,,0.367075342
4741,1,1,F070802060302_400 - Go To Location 1,2,1,4741,,,,,,,,,30.55219921,,33.48964761,,0.372612531
4742,1,1,F070802060302_407 - Go To Location 1,1,1,4742,,,,,,,,,27.13846622,,34.10321451,,0.380968767
4743,1,1,F070802060302_410 - Go To Location 1,1,1,4743,,,,,,,,,27.55510877,,34.02430886,,0.379562252
4744,1,1,F070802060302_412 - Go To Location 1,1,1,4744,,,,,,,,,26.64289666,,33.5051098,,0.374186341
4745,1,1,F070802060302_413 - Go To Location 1,2,1,4745,,,,,,,,,25.3600612,,32.71932471,,0.360059541
4746,1,1,F070802060302_416 - Go To Location 1,1,1,4746,,,,,,,,,27.96433825,,34.91336301,,0.385186342
4747,1,1,F070802060302_419 - Go To Location 1,2,1,4747,,,,,,,,,27.7942552,,35.02420076,,0.383697367
4748,1,1,F070802060302_422 - Go To Location 1,2,1,4748,,,,,,,,,24.90340224,,36.83681587,,0.403922206
4749,1,1,F070802060302_423 - Go To Location 1,1,1,4749,,,,,,,,,28.46855432,,36.95394446,,0.400921936
4750,1,1,F070802060302_425 - Go To Location 1,1,1,4750,,,,,,,,,23.25070028,,34.7430706,,0.386153802
4751,1,1,F070802060302_443 - Go To Location 1,2,1,4751,,,,,,,,,21.2824772,,34.34166317,,0.375921133
4752,1,1,F070802060302_447 - Go To Location 1,2,1,4752,,,,,,,,,20.34904309,,32.98530189,,0.364411776
4753,1,1,F070802060302_451 - Go To Location 1,2,1,4753,,,,,,,,,28.62408567,,36.3378327,,0.40750939
4754,1,1,F070802060302_453 - Go To Location 1,1,1,4754,,,,,,,,,24.73051961,,31.86936499,,0.359756738
4755,1,1,F070802060302_454 - Go To Location 1,2,1,4755,,,,,,,,,24.65282606,,32.19709484,,0.363668462
4756,1,1,F070802060302_455 - Go To Location 1,1,1,4756,,,,,,,,,32.12309773,,37.33195807,,0.417585207
4757,1,1,F070802060302_460 - Go To Location 1,2,1,4757,,,,,,,,,30.36161093,,32.53235043,,0.364849605
4758,1,1,F070802060302_463 - Go To Location 1,1,1,4758,,,,,,,,,26.19171964,,32.96055727,,0.368431505
4759,1,1,F070802060302_465 - Go To Location 1,1,1,4759,,,,,,,,,19.52678585,,32.07177186,,0.354499661
4760,1,1,F070802060406_25 - Go To Location 1,2,1,4760,,,,,,,,,28.5455569,,35.80148035,,0.400926781
4761,1,1,F070802060406_40 - Go To Location 1,1,1,4761,,,,,,,,,29.94488915,,37.08087819,,0.412533008
4762,1,1,F070802060406_41 - Go To Location 1,1,1,4762,,,,,,,,,30.00582589,,38.59470626,,0.433693404
4763,1,1,F070802060406_45 - Go To Location 1,2,1,4763,,,,,,,,,26.33216025,,34.47247526,,0.389251188
