OBJECTID,FBndID,Shape_Length,Shape_Area,opAcres,DirectCost,meanPIdx,OpportunityCost,SUM_cropAcres,SUM_pctWScropAcres,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,ReducedCostTon,MLRA,HUC12
73,F070801010301_395,1856.711592,16187.94981,3.998423576,163.9353638,86,1120.998047,16.85342622,0.002216273,28.34399843,56688,26.92679787,9923.354684,1284.93335,47.7195015,108c,070801010301
74,F070801010301_404,4842.400292,42699.34964,10.54673958,432.4163208,72,2475.531006,31.06119586,0.004084635,32.587988,65176,30.95858821,11409.19365,2907.947266,93.93022919,108c,070801010301
75,F070801010301_41,6287.680841,55296.03069,13.6581192,559.9829102,69,3072.257568,38.0172596,0.004999377,84.56978226,169139,80.34129333,29608.24207,3632.240479,45.2101326,108c,070801010301
76,F070801010301_419,4026.162983,34711.34882,8.573702812,351.5218201,49,1369.563232,31.18420458,0.004100811,14.19303346,28386,13.48338175,4969.041625,1721.085083,127.6449127,108c,070801010301
77,F070801010301_42,1935.898885,16658.675,4.114692688,168.7023926,75,1006.042358,14.92155159,0.001962226,30.6905597,61381,29.15603212,10744.89619,1174.744751,40.29165268,108c,070801010301
78,F070801010301_421,9349.924217,82049.41824,20.26620674,830.9144897,73,4822.95166,60.14767003,0.007909588,39.98953002,79980,37.99005444,14000.50561,5653.866211,148.8249054,108c,070801010301
79,F070801010301_424,4893.241094,42643.48334,10.53293991,431.8505249,73,2506.62915,35.94463801,0.004726821,23.11404747,46229,21.95834523,8092.326801,2938.479736,133.8206329,108c,070801010301
80,F070801010301_442,2198.36487,19032.56122,4.701042652,192.7427521,77,1180.055786,13.18921614,0.001734419,45.55540848,91110,43.27763844,15949.14324,1372.798584,31.72073746,108c,070801010301
81,F070801010301_443,3679.002464,31819.37357,7.85938549,322.2348022,74,1895.998047,19.98033011,0.00262747,66.46899152,132939,63.14554191,23271.07784,2218.23291,35.12889099,108c,070801010301
82,F070801010301_455,1880.449972,16468.58962,4.067741871,166.77742,76,1007.82373,12.52543736,0.00164713,6.538599491,13077,6.211669445,2289.191585,1174.601196,189.0959015,108c,070801010301
83,F070801010301_456,3401.068615,29286.90058,7.233864307,296.5884399,80,1886.591797,22.93898323,0.003016541,60.26782024,120536,57.25442994,21100.02156,2183.180176,38.1312027,108c,070801010301
84,F070801010301_458,1609.264632,13926.70089,3.439895153,141.0357056,75,841.0543823,10.45456755,0.001374805,25.2732842,50547,24.00962055,8848.284957,982.0900879,40.90402222,108c,070801010301
