biomass,price,yield,costs,npv,transport,,,,,,,,,,
prairie,30,9,delivered cost,-938, 32 km ,,,,,,,,,,
prairie,40,3,delivered cost,-865, 32 km ,,,,,,,,,,
prairie,40,6,delivered cost,-863, 32 km ,,,,,,,,,,
prairie,40,9,delivered cost,-860, 32 km ,,,,,,,,,,
prairie,50,3,delivered cost,-839, 32 km ,,,,,,,,,,
prairie,50,6,delivered cost,-810, 32 km ,,,,,,,,,,
prairie,50,9,delivered cost,-781, 32 km ,,,,,,,,,,
prairie,60,3,delivered cost,-813, 32 km ,,,,,,,,,,
prairie,60,6,delivered cost,-758, 32 km ,,,,,,,,,,
prairie,60,9,delivered cost,-703, 32 km ,,,,,,,,,,
prairie,70,3,delivered cost,-787, 32 km ,,,,,,,,,,
prairie,70,6,delivered cost,-706, 32 km ,,,,,,,,,,
prairie,70,9,delivered cost,-625, 32 km ,,,,,,,,,,
prairie,80,3,delivered cost,-761, 32 km ,,,,,,,,,,
prairie,80,6,delivered cost,-653, 32 km ,,,,,,,,,,
prairie,80,9,delivered cost,-546, 32 km ,,,,,,,,,,
prairie,90,3,delivered cost,-734, 32 km ,,,,,,,,,,
prairie,90,6,delivered cost,-601, 32 km ,,,,,,,,,,
prairie,90,9,delivered cost,-468, 32 km ,,,,,,,,,,
prairie,100,3,delivered cost,-708, 32 km ,,,,,,,,,,
prairie,100,6,delivered cost,-549, 32 km ,,,,,,,,,,
prairie,100,9,delivered cost,-389, 32 km ,,,,,,,,,,
prairie,110,3,delivered cost,-682, 32 km ,,,,,,,,,,
prairie,110,6,delivered cost,-496, 32 km ,,,,,,,,,,
prairie,110,9,delivered cost,-311, 32 km ,,,,,,,,,,
prairie,120,3,delivered cost,-656, 32 km ,,,,,,,,,,
prairie,120,6,delivered cost,-444, 32 km ,,,,,,,,,,
prairie,120,9,delivered cost,-232, 32 km ,,,,,,,,,,
prairie,130,3,delivered cost,-630, 32 km ,,,,,,,,,,
prairie,130,6,delivered cost,-392, 32 km ,,,,,,,,,,
prairie,130,9,delivered cost,-154, 32 km ,,,,,,,,,,
prairie,140,3,delivered cost,-604, 32 km ,,,,,,,,,,
prairie,140,6,delivered cost,-339, 32 km ,,,,,,,,,,
prairie,140,9,delivered cost,-75, 32 km ,,,,,,,,,,
cereal rye,20,1,delivered cost,-287, 8 km ,,,,,,,,,,
cereal rye,20,3,delivered cost,-268, 8 km ,,,,,,,,,,
