biomass,price,yield,costs,npv,transport,,,,,,,,,,
cereal rye,70,5,delivered cost,-79, 32 km ,,,,,,,,,,
cereal rye,80,1,delivered cost,-243, 32 km ,,,,,,,,,,
cereal rye,80,3,delivered cost,-135, 32 km ,,,,,,,,,,
cereal rye,80,5,delivered cost,-26, 32 km ,,,,,,,,,,
cereal rye,90,1,delivered cost,-232, 32 km ,,,,,,,,,,
cereal rye,90,3,delivered cost,-103, 32 km ,,,,,,,,,,
cereal rye,90,5,delivered cost,26, 32 km ,,,,,,,,,,
cereal rye,100,1,delivered cost,-222, 32 km ,,,,,,,,,,
cereal rye,100,3,delivered cost,-71, 32 km ,,,,,,,,,,
cereal rye,100,5,delivered cost,79, 32 km ,,,,,,,,,,
cereal rye,110,1,delivered cost,-211, 32 km ,,,,,,,,,,
cereal rye,110,3,delivered cost,-39, 32 km ,,,,,,,,,,
cereal rye,110,5,delivered cost,132, 32 km ,,,,,,,,,,
cereal rye,120,1,delivered cost,-200, 32 km ,,,,,,,,,,
cereal rye,120,3,delivered cost,-7, 32 km ,,,,,,,,,,
cereal rye,120,5,delivered cost,185, 32 km ,,,,,,,,,,
cereal rye,130,1,delivered cost,-190, 32 km ,,,,,,,,,,
cereal rye,130,3,delivered cost,24, 32 km ,,,,,,,,,,
cereal rye,130,5,delivered cost,238, 32 km ,,,,,,,,,,
cereal rye,140,1,delivered cost,-179, 32 km ,,,,,,,,,,
cereal rye,140,3,delivered cost,56, 32 km ,,,,,,,,,,
cereal rye,140,5,delivered cost,291, 32 km ,,,,,,,,,,
prairie,20,3,direct cost,-302.3915938, 8 km ,,,,,,,,,,
prairie,20,6,direct cost,-278.8523815, 8 km ,,,,,,,,,,
prairie,20,9,direct cost,-255.3131691, 8 km ,,,,,,,,,,
prairie,30,3,direct cost,-276.2369134, 8 km ,,,,,,,,,,
prairie,30,6,direct cost,-226.5430206, 8 km ,,,,,,,,,,
prairie,30,9,direct cost,-176.8491278, 8 km ,,,,,,,,,,
prairie,40,3,direct cost,-250.082233, 8 km ,,,,,,,,,,
prairie,40,6,direct cost,-174.2336597, 8 km ,,,,,,,,,,
prairie,40,9,direct cost,-98.38508651, 8 km ,,,,,,,,,,
prairie,50,3,direct cost,-223.9275526, 8 km ,,,,,,,,,,
prairie,50,6,direct cost,-121.9242989, 8 km ,,,,,,,,,,
prairie,50,9,direct cost,-19.92104522, 8 km ,,,,,,,,,,
prairie,60,3,direct cost,-197.7728721, 8 km ,,,,,,,,,,
prairie,60,6,direct cost,-69.61493804, 8 km ,,,,,,,,,,
prairie,60,9,direct cost,58.54299606, 8 km ,,,,,,,,,,
prairie,70,3,direct cost,-171.6181917, 8 km ,,,,,,,,,,
prairie,70,6,direct cost,-17.30557718, 8 km ,,,,,,,,,,
prairie,70,9,direct cost,137.0070373, 8 km ,,,,,,,,,,
prairie,80,3,direct cost,-145.4635113, 8 km ,,,,,,,,,,
prairie,80,6,direct cost,35.00378368, 8 km ,,,,,,,,,,
prairie,80,9,direct cost,215.4710786, 8 km ,,,,,,,,,,
prairie,90,3,direct cost,-119.3088308, 8 km ,,,,,,,,,,
prairie,90,6,direct cost,87.31314453, 8 km ,,,,,,,,,,
prairie,90,9,direct cost,293.9351199, 8 km ,,,,,,,,,,
prairie,100,3,direct cost,-93.15415042, 8 km ,,,,,,,,,,
prairie,100,6,direct cost,139.6225054, 8 km ,,,,,,,,,,
prairie,100,9,direct cost,372.3991612, 8 km ,,,,,,,,,,
prairie,110,3,direct cost,-66.99946999, 8 km ,,,,,,,,,,
prairie,110,6,direct cost,191.9318662, 8 km ,,,,,,,,,,
prairie,110,9,direct cost,450.8632025, 8 km ,,,,,,,,,,
prairie,120,3,direct cost,-40.84478957, 8 km ,,,,,,,,,,
prairie,120,6,direct cost,244.2412271, 8 km ,,,,,,,,,,
prairie,120,9,direct cost,529.3272438, 8 km ,,,,,,,,,,
prairie,130,3,direct cost,-14.69010914, 8 km ,,,,,,,,,,
prairie,130,6,direct cost,296.550588, 8 km ,,,,,,,,,,
prairie,130,9,direct cost,607.791285, 8 km ,,,,,,,,,,
prairie,140,3,direct cost,11.46457129, 8 km ,,,,,,,,,,
prairie,140,6,direct cost,348.8599488, 8 km ,,,,,,,,,,
prairie,140,9,direct cost,686.2553263, 8 km ,,,,,,,,,,
prairie,20,3,direct cost,-318.0844021, 16 km ,,,,,,,,,,
prairie,20,6,direct cost,-310.237998, 16 km ,,,,,,,,,,
prairie,20,9,direct cost,-302.3915938, 16 km ,,,,,,,,,,
prairie,30,3,direct cost,-291.9297217, 16 km ,,,,,,,,,,
prairie,30,6,direct cost,-257.9286371, 16 km ,,,,,,,,,,
prairie,30,9,direct cost,-223.9275526, 16 km ,,,,,,,,,,
prairie,40,3,direct cost,-265.7750412, 16 km ,,,,,,,,,,
prairie,40,6,direct cost,-205.6192763, 16 km ,,,,,,,,,,
prairie,40,9,direct cost,-145.4635113, 16 km ,,,,,,,,,,
prairie,50,3,direct cost,-239.6203608, 16 km ,,,,,,,,,,
prairie,50,6,direct cost,-153.3099154, 16 km ,,,,,,,,,,
prairie,50,9,direct cost,-66.99946999, 16 km ,,,,,,,,,,
prairie,60,3,direct cost,-213.4656804, 16 km ,,,,,,,,,,
prairie,60,6,direct cost,-101.0005545, 16 km ,,,,,,,,,,
prairie,60,9,direct cost,11.46457129, 16 km ,,,,,,,,,,
prairie,70,3,direct cost,-187.311, 16 km ,,,,,,,,,,
prairie,70,6,direct cost,-48.69119369, 16 km ,,,,,,,,,,
prairie,70,9,direct cost,89.92861257, 16 km ,,,,,,,,,,
prairie,80,3,direct cost,-161.1563195, 16 km ,,,,,,,,,,
prairie,80,6,direct cost,3.618167162, 16 km ,,,,,,,,,,
prairie,80,9,direct cost,168.3926539, 16 km ,,,,,,,,,,
prairie,90,3,direct cost,-135.0016391, 16 km ,,,,,,,,,,
prairie,90,6,direct cost,55.92752802, 16 km ,,,,,,,,,,
prairie,90,9,direct cost,246.8566951, 16 km ,,,,,,,,,,
prairie,100,3,direct cost,-108.8469587, 16 km ,,,,,,,,,,
prairie,100,6,direct cost,108.2368889, 16 km ,,,,,,,,,,
prairie,100,9,direct cost,325.3207364, 16 km ,,,,,,,,,,
prairie,110,3,direct cost,-82.69227825, 16 km ,,,,,,,,,,
prairie,110,6,direct cost,160.5462497, 16 km ,,,,,,,,,,
prairie,110,9,direct cost,403.7847777, 16 km ,,,,,,,,,,
prairie,120,3,direct cost,-56.53759782, 16 km ,,,,,,,,,,
prairie,120,6,direct cost,212.8556106, 16 km ,,,,,,,,,,
prairie,120,9,direct cost,482.248819, 16 km ,,,,,,,,,,
prairie,130,3,direct cost,-30.38291739, 16 km ,,,,,,,,,,
prairie,130,6,direct cost,265.1649714, 16 km ,,,,,,,,,,
prairie,130,9,direct cost,560.7128603, 16 km ,,,,,,,,,,
prairie,140,3,direct cost,-4.228236967, 16 km ,,,,,,,,,,
prairie,140,6,direct cost,317.4743323, 16 km ,,,,,,,,,,
prairie,140,9,direct cost,639.1769016, 16 km ,,,,,,,,,,
prairie,20,3,direct cost,-331.1617423, 24 km ,,,,,,,,,,
prairie,20,6,direct cost,-336.3926784, 24 km ,,,,,,,,,,
prairie,20,9,direct cost,-341.6236145, 24 km ,,,,,,,,,,
prairie,30,3,direct cost,-305.0070619, 24 km ,,,,,,,,,,
prairie,30,6,direct cost,-284.0833175, 24 km ,,,,,,,,,,
prairie,30,9,direct cost,-263.1595732, 24 km ,,,,,,,,,,
prairie,40,3,direct cost,-278.8523815, 24 km ,,,,,,,,,,
prairie,40,6,direct cost,-231.7739567, 24 km ,,,,,,,,,,
prairie,40,9,direct cost,-184.6955319, 24 km ,,,,,,,,,,
prairie,50,3,direct cost,-252.697701, 24 km ,,,,,,,,,,
prairie,50,6,direct cost,-179.4645958, 24 km ,,,,,,,,,,
prairie,50,9,direct cost,-106.2314906, 24 km ,,,,,,,,,,
prairie,60,3,direct cost,-226.5430206, 24 km ,,,,,,,,,,
prairie,60,6,direct cost,-127.155235, 24 km ,,,,,,,,,,
prairie,60,9,direct cost,-27.76744935, 24 km ,,,,,,,,,,
prairie,70,3,direct cost,-200.3883402, 24 km ,,,,,,,,,,
prairie,70,6,direct cost,-74.84587412, 24 km ,,,,,,,,,,
prairie,70,9,direct cost,50.69659193, 24 km ,,,,,,,,,,
prairie,80,3,direct cost,-174.2336597, 24 km ,,,,,,,,,,
prairie,80,6,direct cost,-22.53651327, 24 km ,,,,,,,,,,
prairie,80,9,direct cost,129.1606332, 24 km ,,,,,,,,,,
prairie,90,3,direct cost,-148.0789793, 24 km ,,,,,,,,,,
prairie,90,6,direct cost,29.77284759, 24 km ,,,,,,,,,,
prairie,90,9,direct cost,207.6246745, 24 km ,,,,,,,,,,
prairie,100,3,direct cost,-121.9242989, 24 km ,,,,,,,,,,
prairie,100,6,direct cost,82.08220844, 24 km ,,,,,,,,,,
prairie,100,9,direct cost,286.0887158, 24 km ,,,,,,,,,,
prairie,110,3,direct cost,-95.76961846, 24 km ,,,,,,,,,,
prairie,110,6,direct cost,134.3915693, 24 km ,,,,,,,,,,
prairie,110,9,direct cost,364.5527571, 24 km ,,,,,,,,,,
prairie,120,3,direct cost,-69.61493804, 24 km ,,,,,,,,,,
prairie,120,6,direct cost,186.7009302, 24 km ,,,,,,,,,,
prairie,120,9,direct cost,443.0167983, 24 km ,,,,,,,,,,
prairie,130,3,direct cost,-43.46025761, 24 km ,,,,,,,,,,
prairie,130,6,direct cost,239.010291, 24 km ,,,,,,,,,,
prairie,130,9,direct cost,521.4808396, 24 km ,,,,,,,,,,
prairie,140,3,direct cost,-17.30557718, 24 km ,,,,,,,,,,
prairie,140,6,direct cost,291.3196519, 24 km ,,,,,,,,,,
prairie,140,9,direct cost,599.9448809, 24 km ,,,,,,,,,,
prairie,20,3,direct cost,-375.624699, 32 km ,,,,,,,,,,
prairie,20,6,direct cost,-425.3185919, 32 km ,,,,,,,,,,
prairie,20,9,direct cost,-475.0124847, 32 km ,,,,,,,,,,
prairie,30,3,direct cost,-349.4700186, 32 km ,,,,,,,,,,
prairie,30,6,direct cost,-373.009231, 32 km ,,,,,,,,,,
prairie,30,9,direct cost,-396.5484434, 32 km ,,,,,,,,,,
prairie,40,3,direct cost,-323.3153382, 32 km ,,,,,,,,,,
prairie,40,6,direct cost,-320.6998701, 32 km ,,,,,,,,,,
prairie,40,9,direct cost,-318.0844021, 32 km ,,,,,,,,,,
prairie,50,3,direct cost,-297.1606578, 32 km ,,,,,,,,,,
prairie,50,6,direct cost,-268.3905093, 32 km ,,,,,,,,,,
prairie,50,9,direct cost,-239.6203608, 32 km ,,,,,,,,,,
prairie,60,3,direct cost,-271.0059773, 32 km ,,,,,,,,,,
prairie,60,6,direct cost,-216.0811484, 32 km ,,,,,,,,,,
prairie,60,9,direct cost,-161.1563195, 32 km ,,,,,,,,,,
prairie,70,3,direct cost,-244.8512969, 32 km ,,,,,,,,,,
prairie,70,6,direct cost,-163.7717876, 32 km ,,,,,,,,,,
prairie,70,9,direct cost,-82.69227825, 32 km ,,,,,,,,,,
prairie,80,3,direct cost,-218.6966165, 32 km ,,,,,,,,,,
prairie,80,6,direct cost,-111.4624267, 32 km ,,,,,,,,,,
prairie,80,9,direct cost,-4.228236967, 32 km ,,,,,,,,,,
prairie,90,3,direct cost,-192.541936, 32 km ,,,,,,,,,,
prairie,90,6,direct cost,-59.15306586, 32 km ,,,,,,,,,,
prairie,90,9,direct cost,74.23580432, 32 km ,,,,,,,,,,
prairie,100,3,direct cost,-166.3872556, 32 km ,,,,,,,,,,
prairie,100,6,direct cost,-6.843705009, 32 km ,,,,,,,,,,
prairie,100,9,direct cost,152.6998456, 32 km ,,,,,,,,,,
prairie,110,3,direct cost,-140.2325752, 32 km ,,,,,,,,,,
prairie,110,6,direct cost,45.46565585, 32 km ,,,,,,,,,,
prairie,110,9,direct cost,231.1638869, 32 km ,,,,,,,,,,
prairie,120,3,direct cost,-114.0778948, 32 km ,,,,,,,,,,
prairie,120,6,direct cost,97.7750167, 32 km ,,,,,,,,,,
prairie,120,9,direct cost,309.6279282, 32 km ,,,,,,,,,,
prairie,130,3,direct cost,-87.92321434, 32 km ,,,,,,,,,,
prairie,130,6,direct cost,150.0843776, 32 km ,,,,,,,,,,
prairie,130,9,direct cost,388.0919694, 32 km ,,,,,,,,,,
prairie,140,3,direct cost,-61.76853391, 32 km ,,,,,,,,,,
prairie,140,6,direct cost,202.3937384, 32 km ,,,,,,,,,,
prairie,140,9,direct cost,466.5560107, 32 km ,,,,,,,,,,
