OBJECTID,FacilityID,Name,Total_TruckTravelTime,Total_Kilometers,Shape_Length
877,1,F070801010602_217 - Go To Location 1,25.5912602,22.96188977,0.223654971
878,1,F070801010602_221 - Go To Location 1,25.91050634,24.8218755,0.239945342
879,1,F070801010602_224 - Go To Location 1,26.44580339,24.36033734,0.232866378
880,1,F070801010602_225 - Go To Location 1,27.09198565,25.03157199,0.239828322
881,1,F070801010602_226 - Go To Location 1,25.70105051,23.26926858,0.224491736
882,1,F070801010602_229 - Go To Location 1,26.899689,24.52581253,0.232906429
883,1,F070801010602_231 - Go To Location 1,21.54851521,21.72608122,0.205938152
884,1,F070801010602_232 - Go To Location 1,22.13140049,22.11680212,0.209457196
885,1,F070801010602_234 - Go To Location 1,25.77502009,24.37388973,0.234525792
886,1,F070801010602_238 - Go To Location 1,32.73931916,26.41143555,0.263716088
887,1,F070801010602_240 - Go To Location 1,34.16205988,33.18254031,0.328471961
888,1,F070801010602_244 - Go To Location 1,32.24133012,32.22717108,0.321787515
889,1,F070801010602_245 - Go To Location 1,34.52621763,32.68416031,0.327043304
890,1,F070801010602_256 - Go To Location 1,31.15610312,31.94347312,0.317984988
891,1,F070801010602_261 - Go To Location 1,27.23655438,27.05584598,0.26703539
892,1,F070801010602_262 - Go To Location 1,26.68829999,26.43976822,0.259654397
893,1,F070801010602_264 - Go To Location 1,34.90634377,33.33196951,0.329092407
894,1,F070801010602_265 - Go To Location 1,34.39431541,33.38714543,0.329231504
895,1,F070801010602_270 - Go To Location 1,24.36215102,23.91412238,0.227388592
896,1,F070801010602_272 - Go To Location 1,29.208861,30.81070072,0.304921563
897,1,F070801010602_273 - Go To Location 1,26.20137184,27.39262267,0.267334806
898,1,F070801010602_279 - Go To Location 1,20.47490183,21.00615903,0.199454175
899,1,F070801010602_280 - Go To Location 1,24.57571603,22.1921982,0.214794581
900,1,F070801010602_281 - Go To Location 1,20.07686255,20.60567404,0.196102014
901,1,F070801010602_282 - Go To Location 1,19.5061132,20.25306914,0.193574736
902,1,F070801010602_286 - Go To Location 1,20.76669307,20.88328279,0.201128981
903,1,F070801010602_289 - Go To Location 1,23.23453358,21.34168486,0.2070318
904,1,F070801010602_291 - Go To Location 1,21.79010398,22.11707831,0.21722691
905,1,F070801010602_294 - Go To Location 1,19.80210644,20.47461866,0.198654704
906,1,F070801010602_295 - Go To Location 1,27.91507921,27.32097505,0.265345969
907,1,F070801010602_299 - Go To Location 1,17.99649593,19.34430754,0.184485132
908,1,F070801010602_301 - Go To Location 1,17.69474228,19.14196361,0.182662548
909,1,F070801010602_305 - Go To Location 1,25.05101366,24.8936286,0.238430858
910,1,F070801010602_306 - Go To Location 1,25.29776612,25.68495692,0.247543682
911,1,F070801010602_307 - Go To Location 1,25.8594878,26.58955829,0.257828793
912,1,F070801010602_308 - Go To Location 1,24.45898811,24.35495454,0.232462156
913,1,F070801010602_316 - Go To Location 1,23.48200367,23.18457732,0.221446928
914,1,F070801010602_317 - Go To Location 1,21.10027128,21.42550677,0.203231143
915,1,F070801010602_319 - Go To Location 1,26.46611561,24.98516637,0.235287984
916,1,F070801010602_321 - Go To Location 1,25.68865391,24.51132503,0.231751392
917,1,F070801010602_325 - Go To Location 1,25.8761876,25.49753883,0.245152646
918,1,F070801010602_326 - Go To Location 1,25.88941831,25.51733727,0.24537601
919,1,F070801010602_337 - Go To Location 1,29.31878231,25.89768976,0.244229802
920,1,F070801010602_342 - Go To Location 1,29.93396964,26.02078003,0.245548117
921,1,F070801010602_343 - Go To Location 1,26.35539087,25.8774397,0.249703153
922,1,F070801010602_367 - Go To Location 1,29.70041343,27.82095274,0.267327304
923,1,F070801010602_381 - Go To Location 1,34.28171466,26.63085612,0.25217914
924,1,F070801010602_384 - Go To Location 1,28.63399528,26.2164147,0.247013819
925,1,F070801010602_387 - Go To Location 1,42.18959162,34.3604359,0.334502795
926,1,F070801010602_401 - Go To Location 1,35.03522518,31.71536412,0.305237699
927,1,F070801010602_418 - Go To Location 1,33.45036637,25.12016221,0.240307199
928,1,F070801010602_419 - Go To Location 1,25.36840143,23.87675688,0.228664129
