HUC12,sumDC,sumOC,sumTC,sumcpSEDLoadReduced,meanDC,minDC,maxDC,meanOC,minOC,maxOC,meanTC,minTC,maxTC,meanDCredSED,minDCredSED,maxDCredSED,meanTCredSED,minTCredSED,maxTCredSED,opArea_ha,n
070801030601,530859.97419488,1052850.176238,834678.4461246,8514355.149065027,2933,95,71502,5817,241,39074,4611,362,78202,0.33776110898243733,0.0013479645374842358,17.27828756203904,1.2746710435139068,0.0058284917968147686,74.70996251921268,1784.0549868812197,181
070801030602,317811.06375445,991649.4217852,620324.7379787,2088723.8102490008,3086,88,31357,9628,342,56394,6023,430,48425,0.2181052519457699,0.0031029294427640896,2.353523683080727,0.5830536853449314,0.0196332177119779,10.176449265737546,1664.9393817241541,103
070801030603,1340369.9350979,1723239.6478257,2129211.0443676002,9851158.658680871,6444,73,115394,8285,163,47985,10237,237,126733,0.18521040414399814,0.0028701322680755796,5.101749066222407,0.5290076402847346,0.011871228593220543,20.97250668705917,2781.9905215562094,208
070801030604,156813.6066332,152255.7610016,182030.8390462,560257.9557158356,10454,85,55726,10150,291,42062,12135,383,60820,0.22135464309114916,0.014049005594719891,0.7020654753628155,0.35259878499340114,0.06431703384824869,1.0831759995179506,256.1226833859698,15
070801030605,375399.45276212,754109.3710266,637976.8743886,5148014.056770314,3645,79,36537,7321,284,47281,6194,363,53675,0.08212697077620612,0.004068425934811887,0.7252081796594443,0.2233770980138907,0.01897854127460254,3.290264819366663,1241.1283095539386,103
070801030606,586323.5043369,873164.2196008,753683.6929628,5397682.751871463,6663,108,69271,9922,552,38655,8565,661,74980,0.10551182056317965,0.005080580800794894,0.6753071403515187,0.1888623409069107,0.028658195360718775,1.3376717704992604,1314.9892222462877,88
070801030607,146772.70012971,388934.6137689,305884.3180222,3488912.3458269667,2669,83,51833,7072,218,42113,5562,301,56453,0.08083371869714363,0.003486403759463236,1.515161579664661,0.26909743345615417,0.012634386596041722,6.034898513474649,746.6395565295991,55
070802060301,455600.78506668,1165112.854454,767745.474783,6445057.412546004,5625,72,72394,14384,487,88827,9478,559,79673,0.24267291902767155,0.002324986081548344,4.351963036227796,0.9047258571268256,0.010053056068653842,19.00300237022124,1660.3911293526303,81
070802060302,627056.79733213,1886450.71742181,1083381.12303971,14168251.155068956,3074,95,54398,9247,86,98007,5311,330,78059,0.12805651412893027,0.0023706546867030957,4.963560361658452,0.3514887399628179,0.010253136506773364,16.491044948490547,2921.009098942536,204
070802060406,203833.47379961,822772.30290712,452814.77507232,6187376.566195001,1998,68,10810,8066,77,49715,4439,462,45119,3.0828406699684554,8.504315646288968e-4,302.08593782389653,14.967516086155742,0.0010678752263634584,1486.4207947284413,1259.529961785377,102
070802060407,95339.5438141,326221.7671791,155450.23347120002,3119193.2829780728,2217,117,19262,7587,494,50732,3615,611,21001,0.05129554658114852,0.0030721549331203138,0.35953274697042786,0.07861095021411042,0.014308748162888883,0.35953274697042786,566.7277879610417,43
070802060501,1481314.94732988,2827651.5607574,2744383.1252193,12859538.871095164,5290,75,216896,10099,488,96852,9801,563,238210,0.15459360109813663,0.0025506371459678755,1.8788452776706845,0.5372499340499776,0.010702672819690612,7.997971870502249,3808.631484146364,280
070802060502,1768934.81918654,4129733.4612449,3107735.2789489,15860170.12794691,4595,71,88949,10727,165,89596,8072,169,97995,0.1589537225385052,0.002183053773442303,4.16792242920266,0.5247137064746152,0.009439351657575906,18.02176937399091,5594.804424305507,385
070802060503,562925.11104199,1004658.73123335,1051945.22690505,2855355.7943380848,6701,90,51637,11960,17,76250,12523,391,55944,0.2094489184646669,0.006181280565008731,1.6889550627268441,0.5420897667556578,0.007549060748923177,7.51882945813069,1481.6379734577476,84
070802060601,1480453.31177498,3544541.941507,2673161.7276713,17348025.082301944,5306,85,90702,12704,337,112342,9581,446,127699,0.13603685880077473,0.001097167165286353,7.144416341780705,0.46116299183767434,0.004744064727309271,35.154261453720466,4652.5923602228695,279
070802060602,1570314.6057236,4673033.5734867,2760399.7948032,31123663.319346596,3265,102,84693,9715,609,128265,5739,583,124253,0.1516166928799306,0.0013040159322558506,5.824149331377346,0.5418982625299306,0.00502719458905918,25.431357367768868,6410.241804456255,481
070802060603,1211472.25633909,2720823.196695,2042414.3602738,16739956.878236286,4079,80,59255,9161,358,47243,6877,458,64633,0.08334793257634218,0.001713865129410658,0.7573760971854561,0.18998163683027447,0.007410606797850045,3.210284518018279,4068.7823418911935,297
070802060704,946737.37716476,1840384.2270057,1468220.1247807,13853100.391811658,4552,92,134479,8848,407,56888,7059,513,147848,0.10744330022035403,0.001987540473921177,1.2159180221901857,0.2986742057554451,0.008593968779480257,4.909880196686476,2644.1088094513366,208
070802060801,374970.31564287,1408917.610035,896497.2227306,11539371.94225637,2500,76,37216,9393,387,83397,5977,463,48410,0.07952315697999864,0.0017911883560294208,3.2792601789103983,0.242620532955882,0.007744958219185797,13.899758912793034,2302.2021743703162,150
070802060802,677328.7507174,1137324.417633,1389448.2556449,3172201.1830865615,8161,400,236868,13703,1179,44563,16740,832,261228,0.1535166459354147,0.004788130971724059,1.0161534790169737,0.4514453981309116,0.019479201262849043,3.0201115609746414,1641.2204728370189,83
070802060803,418427.59223725,1221618.9392095,869101.3345816,7313397.494238041,2968,90,30203,8664,221,47067,6164,347,47853,3.5989077856513605,0.002299915833693292,494.0335777025307,7.079556358945468,0.00888328430290628,957.1968342888533,1982.8875858235683,141
070802060804,520316.81780176,1027428.36416242,1077896.37696862,3213455.711080135,4336,89,82869,8562,87,55295,8982,222,90729,0.48636998368010076,0.006175075528947908,6.91837503143213,1.5623428834746163,0.026214878626700782,32.27292720335509,1632.3508629808116,120
070802060805,49293.0864712,182509.6707202,208736.4099735,508811.1514690368,4481,167,18499,16592,809,72783,18976,976,84518,0.11115067297444285,0.005257336337351172,0.25995597817433974,0.40869545889158604,0.03389882250156341,1.1535390491192161,291.0493357455826,11
