HUC12,sumDC,sumOC,sumTC,sumcpSEDldRedkg,meanDC,minDC,maxDC,meanOC,minOC,maxOC,meanTC,minTC,maxTC,meanDCredSED,minDCredSED,maxDCredSED,meanTCredSED,minTCredSED,maxTCredSED,opAcres,n
070801030404,461072.3923996,488821.9451054,778854.582836,750248.5053200392,10723,556,65381,11368,415,55757,18113,690,80474,0.5790619089369291,0.05292771929854708,2.132480727960946,0.9777840891620024,0.06563037215887202,2.8432670257258668,910.5142490757707,43
070801030405,1744426.5263395,1520363.2270267,2380602.1364027,10335295.559626779,8766,309,90236,7640,173,64820,11963,704,96708,0.3812230086785224,0.00851171337259756,11.737859550981407,0.5691079358410168,0.011448252235293837,16.609058899430465,2839.3967273655276,199
070801030406,3458143.9752325,3652705.8219323,4480549.7456328,30598461.84411246,7373,306,142201,7788,360,66869,9553,607,152400,0.2486357880330879,9.093496939463054e-4,11.530976489821864,0.339225630387596,0.0012639960337958666,16.02805727768089,6021.318926838522,469
070801030407,2651170.4725256,2825459.0113454,3400213.9604951,27542756.60552382,5878,337,62372,6265,166,60723,7539,503,66845,0.222612284731046,0.0013166313898512352,3.5504730292055147,0.30134028659256423,0.0018214836725311057,4.935157584314806,4553.841668006085,451
070801030408,1009409.9762974,1242116.28847,1423298.1909071,11324433.42773317,6155,369,41337,7574,449,66570,8679,639,107906,0.20030858391103332,0.002415006264225766,7.887251270021339,0.25790894762956473,0.0032602585552860067,9.188648126902505,2108.597503030679,164
070801030409,1402995.5675881,955769.9363048,1907725.9734528,5824035.1765040895,12755,290,357663,8689,261,50200,17343,604,381483,0.35220721000378663,0.0057265717183002055,1.5013318265885602,0.5329812919453732,0.007571597922002187,2.290330380740133,1775.4801541895654,110
070801030601,1178696.1675449,1053922.1141929,1430512.4131993,8514355.145497087,6512,383,95687,5823,251,39074,7903,712,102387,0.5522808340841823,0.0017232800471147476,22.089105050906404,0.7288437554970484,0.002395359117869393,30.70385567543691,1784.0549868812197,181
070801030602,872938.329374,991743.6633012,1165945.2879839,2088723.8102490008,8475,355,41963,9629,349,56394,11320,705,70641,0.5866732615580637,0.01256307990022173,3.0088183922710274,0.788984058629581,0.02934008883337276,4.182257097765258,1664.9393817241541,103
070801030603,2468705.8205498,1721151.6005999001,3212517.6248013,9513237.559793172,11926,296,154425,8315,169,47985,15519,466,165764,0.39826304034363924,0.003669267062799081,6.5222359220469,0.573195886444801,0.005100281186951118,8.902849216416909,2777.7972121192233,207
070801030604,274463.5930097,152283.4053802,299708.4701,560257.9557158356,18298,346,74575,10152,299,42062,19981,669,79669,0.5238149738300915,0.05688133623535876,1.2548374171526693,0.6561686093098489,0.10714936768984637,1.6977788476998668,256.1226833859698,15
070801030605,829950.8330533,754612.8334619,1079058.8558799,5148014.056770314,8058,321,48896,7326,284,47281,10476,525,73169,0.2199073665195535,0.005201203109596762,1.0276318236262256,0.31892317957643135,0.007437720626224828,1.898132493016714,1241.1283095539386,103
070801030606,1124780.0551258,873418.5329552001,1289450.7122227,5397682.751871463,12782,438,92701,9925,561,38655,14653,838,98340,0.27956739180014145,0.01786839895389721,1.0441006353031554,0.353185786983166,0.025283786717539537,1.8144581027849915,1314.9892222462877,88
070801030607,397132.4514894,389339.2846981,553345.93457,3488912.3458269667,7221,336,69365,7079,224,42113,10061,560,75103,0.22085084911114938,0.010713554362151028,1.9370299867435026,0.3386299821462134,0.014463295728646894,2.614990504651691,746.6395565295991,55
070802060301,1049554.1015885,1166930.6185533,1339490.6151187,6445172.4144881815,12799,291,96880,14231,487,88827,16335,552,104513,0.4699847772877058,0.0029723351216970222,5.563686389781884,0.6566342389859908,0.004131545619762847,7.761342201222268,1660.7391648179785,82
070802060302,1616668.464517,1886071.9864052099,2024904.8535114,14168136.171288524,7964,386,72798,9291,86,98007,9975,526,109375,0.21827586123676535,0.0030307193502624548,6.3455717191475935,0.27541684998010474,0.004240406937991085,6.567666299983668,2920.661063477188,203
070802060406,605695.0686195,816973.02855232,807171.5090202,6137282.649800467,6181,274,34852,8336,77,49715,8236,499,62320,4.200718273428828,0.0010872183404263822,386.19613098573353,6.100286232041851,0.0011198349255476198,563.8463595214153,1258.0410692061587,98
070802060407,282917.1666381,332725.1838368,344284.11891910003,3169287.2010962483,6020,475,35489,7079,494,50732,7325,757,35489,0.16615629120915523,0.012438480900836092,1.1591831634411411,0.1970817160339496,0.024407895323843565,1.1591831634411411,568.2166805402601,47
070802060501,3000286.4540364,2830351.6150208,4138422.5785106,12999868.638493521,10677,303,290259,10072,488,96852,14727,711,311573,0.3227734411279537,0.0032608144066913567,2.401974892521869,0.48543113212367045,0.004483619723869208,3.3027154421525373,3812.0105560536895,281
070802060502,3801141.1321696,4128011.6649793,4990142.9887311,15719840.364004908,9899,288,119035,10750,165,89596,12995,544,128081,0.33910456926455324,0.002790884417238499,5.32840286162092,0.4816250389828159,0.003879328976224179,7.406480002815769,5591.4253523981815,384
070802060503,1117524.8976541,1003005.16238535,1595795.366328,2828908.4363857596,13464,365,69102,12084,17,76250,19226,492,73410,0.46816753652836707,0.008556504363800559,2.1592131412376987,0.6954133291493406,0.008685356656718782,3.0336943579643907,1479.1942979552546,83
070802060601,3199190.6665022,3545215.7335629,4246382.747198,17348025.093124602,11467,343,121381,12707,337,112342,15220,552,174521,0.27103406866564894,0.0014026529445865358,9.133645528776453,0.37247322661059495,0.00194968759435289,13.3351228846872,4652.5923602228695,279
070802060602,3793187.0100366,4674705.4704011995,4755735.2302152,31121297.1887932,7886,385,113340,9719,609,128265,9887,537,170700,0.28090485543966276,0.0016670948316667798,7.445775439479536,0.375630273481585,0.0022255715978030193,10.386856475891562,6410.241804456255,481
070802060603,2697143.5009903,2722360.736734,3502174.1733069,16739956.879969,9081,324,79297,9166,358,47243,11792,593,84579,0.23904732848671906,0.0021910589378307714,1.3195320006099749,0.3322130482651807,0.0030455702157219694,2.039188008728838,4068.7823418911935,297
070802060704,1955362.2002577,1841375.3620162,2409983.587043,13853100.391954992,9401,372,179965,8853,415,56888,11586,701,193334,0.26403702870096596,0.0025409341444332335,3.920287419232833,0.349287256739044,0.003531898478730396,3.920287419232833,2644.1088094513366,208
070802060801,1121965.0925861,1409707.9680084,1613717.9662668,11539371.939652763,7480,308,55626,9398,393,83397,10758,657,69132,0.1961302334380683,0.002289911566255799,4.192308736461013,0.27492342168897405,0.003182976940346694,5.785383772034319,2302.2021743703162,150
070802060802,1357471.6002218,1139236.2292331,2049017.3847879,3210762.5100860675,15785,511,316987,13247,108,44563,23826,665,341346,0.3903095346985152,0.006121296837806184,1.3598576929347101,0.6164346750389085,0.008324957380875872,1.9026328197357496,1644.4664058260857,86
070802060803,1092183.0398888,1222291.7751454,1538929.3527291,7313397.498293135,7746,363,40419,8669,221,47067,10914,558,66332,4.792007187429267,0.00931185574456747,631.5880355040708,5.479140262139173,0.015895224819940705,701.0625526949885,1982.8875858235683,141
070802060804,1123619.8051067,1027224.28828052,1659827.4557689,3201341.742032954,9522,359,110899,8705,87,55295,14066,493,118758,0.8577468731739103,0.009573274988783928,8.84466830549586,1.242877258851468,0.012923905905909952,12.647850719141989,1631.548605494238,118
070802060805,145009.4800396,182540.6563766,304483.788593,508811.1514690368,13183,675,47514,16595,822,72783,27680,1498,120297,0.378108973103246,0.021285800785097692,0.838133955693283,0.6759520566388837,0.050965386022504854,1.6262078690715338,291.0493357455826,11
