HUC12,sumDC,sumOC,sumTC,sumcpNO3LoadReduced,meanDC,minDC,maxDC,meanOC,minOC,maxOC,meanTC,minTC,maxTC,meanDC_kgNO3,minDC_kgNO3,maxDC_kgNO3,meanTC_kgNO3,minTC_kgNO3,maxTC_kgNO3,opArea_ha,n
070801030409,681478.6735143,505376.6896079,1186855.3678258,51939.40442474764,6490,72,257989,4813,0,50200,11303,339,281810,9.233130994806153,0.4637407657350446,37.307537853393505,15.967682169683972,1.2058189238310797,56.13531915297907,1019.3337630372725,105
070801030601,502962.88379968,244157.8951777,747120.7775508,52284.282868004935,3422,95,69021,1661,0,38702,5082,333,75721,8.596774992330912,0.3940742402303535,32.016890008563266,12.389246254808588,1.4319267520290446,34.631952553459335,578.1797936762159,147
070801030602,309013.89336325,295840.4256648,604854.3195289,31971.391198381254,3287,88,30269,3147,0,41138,6435,389,48425,10.631109292185123,0.8946045797420394,27.21489384305439,16.68356581568462,1.9952165851613193,32.973496727845756,596.6121357957467,94
070801030603,1256876.1528723,695491.06729418,1952367.21861468,100535.28844113224,7061,73,111390,3907,0,41224,10968,217,122729,9.648035613626863,0.9790743318606797,34.029875140715156,16.63782627566823,3.0638415198898423,36.48709425659573,1299.575200227798,178
070801030604,152513.5921052,25039.3141494,177552.9074749,5693.749016648204,10168,85,53793,1669,0,8791,11837,348,58887,16.827354428837932,1.3540632659725578,49.15353999106666,21.409767824662644,5.61936256833798,53.924679585306784,48.3715961623233,15
070801030605,366111.41067542,258713.2201713,624824.6309923,39482.081568680114,3895,79,35270,2752,0,47281,6647,183,53675,8.07517764366702,0.9291182525573514,23.718514366752654,13.654160865692546,3.599184423270966,33.610422805389014,459.9940222749336,94
070801030606,569773.5492905,159285.5480082,729059.1063263,47438.43124620832,6703,108,66867,1874,0,36864,8577,595,72584,10.478222021158382,0.7895568553727811,29.95804470044601,14.360422056167948,5.10053776593715,34.246809235107094,255.04050980150498,85
070801030607,147369.51361682,161063.0457019,308432.5566326,21293.448526160635,2632,83,50035,2876,0,42113,5508,275,54654,7.303621116802121,0.3424143395049864,18.59849402808393,12.575440272770138,1.1517201387819502,26.28866124113235,318.4998676083291,56
070802060301,439336.38197837997,284082.5503163,723418.9358736,35352.17315829835,6865,72,69882,4439,0,66479,11303,500,77161,11.487643872588452,0.9865612839185799,41.07755914082079,18.381070860451075,6.453710740048325,152.12724423429438,422.47046042435915,64
070802060302,596149.98286383,396871.9533012,993021.9360459,61260.597902336434,3657,95,52511,2435,0,67787,6092,302,78059,9.318739502519675,0.5145234753135014,46.45989042662856,14.597743927732157,1.8522239121982056,50.859579480532844,692.3308981023756,163
070802060406,188036.43614011,205658.8662523,393695.3040547,26879.93671146946,2686,68,10810,2938,0,39477,5624,479,45119,8.454978729917725,0.7087768566201608,16.686076159065543,13.44261009302428,1.7665554325324229,32.973322506060065,323.63232552270136,70
070802060407,97504.5344258,75437.5664955,172942.09976800001,11247.84468691175,2075,103,18594,1605,0,11963,3680,462,20333,8.550184162156102,0.8612228930540504,33.51803266325393,13.501314921881189,4.538644919298771,36.652468951497355,158.47574200049846,47
070802060501,1432928.79623668,1123219.2854147,2556148.0791965,117144.77330881213,7059,75,209369,5533,0,70548,12592,504,230683,10.095795183128953,0.3841150646285693,33.52728359436961,17.85987522755154,1.2635641091548309,37.05945758718988,1566.984008336413,203
070802060502,1659099.84084144,1163598.6246569,2822698.4698706,128476.69928081849,6122,71,85863,4294,0,49599,10416,169,94908,11.162143290732514,0.3469468525627955,37.40433531432276,18.82444803885616,1.2606824662552356,40.90219784312228,1647.7580274894085,271
070802060503,527678.18665599,484349.66944795,1012027.86351575,44913.35452282886,7228,90,49845,6635,0,43923,13863,355,54152,11.565564766383352,0.3801869964746032,40.96192693025229,21.550148518349946,0.3930238973241797,44.74399025324471,720.8066384885245,73
070802060601,1409219.97245818,1021066.5632196,2430286.541525,115804.99883459408,7536,85,87555,5460,0,112342,12996,405,127699,11.592164686240531,0.8283755340511317,38.00835074514687,17.804663337772187,2.993237536733598,41.92263043326655,1408.9251569255039,187
070802060602,1470166.94272461,894903.316134,2365070.2579267,144611.66719772323,4773,78,81755,2906,0,109019,7679,377,124253,10.125880514541995,0.8379815994443739,41.077555957747265,14.874792651090791,3.5712002039952018,142.32873592794158,1379.6341556437842,308
070802060603,1186921.59152839,801149.7491512,1988071.3330676,107069.38644466392,4179,80,57199,2821,0,39508,7000,415,62593,9.975329533109802,0.693474216391986,58.85756358314552,15.796668521355377,2.8242349655122942,63.3862207639297,1261.8692401434107,284
070802060704,903318.73191276,427762.7593456,1331081.4926362,84588.8412969473,5681,92,129813,2690,0,35657,8372,464,143181,9.345887297659694,0.5257602135304436,24.14178086166349,13.88939497742751,1.8926734317249658,33.928399510400645,695.6789820242354,159
070802060801,361559.0720553,472883.99125869997,834443.0628156,51684.16856096587,2803,76,35925,3666,0,41613,6469,417,48410,8.071756153647247,0.713255020507716,26.577483145424363,14.422096193889466,4.7184808726365874,30.426869713290206,879.1229777002695,129
070802060802,670482.70463142,695184.4802898,1365667.1890585,49579.74737229317,9578,93,228649,9931,0,44563,19510,486,253008,10.934281030013642,0.3575692991476063,44.09823175299869,22.81820165967396,1.2268387061557466,48.79627963809676,1019.4217088245431,70
070802060803,411618.22087995,449110.0208403,860728.2402498,46444.40297058152,3049,90,29155,3327,0,41791,6376,316,47853,9.130183029748084,0.7817632635782035,41.499529587175104,16.087349741117915,2.7518064962630833,44.83998591968252,775.2271737133133,135
070802060804,497373.46230446,550273.2855436,1047646.7348824,45178.79902999403,5526,89,79994,6114,0,42331,11641,206,87853,8.856498809493,0.9452895891080839,31.995335977279783,19.95812549217213,1.5538484246057662,37.45116141278364,897.2166333343431,90
070802060805,48651.1819272,159198.12256340001,207849.3059157,7981.121364895908,4423,167,17857,14473,0,72783,18895,879,84518,8.849839967891777,1.3535889105229553,16.65982532102195,19.356598564986854,7.426114163966888,30.426182156483616,253.59756641355986,11
