HUC12,biomass,mean,lb,ub
070801030405,prairie,3012.7116843436966,1964.0036733587153,4061.419695328678
070801030405,rye,3739.9999914725904,3739.9999563807364,3740.0000265644444
070801030406,prairie,4733.63677456362,4141.925902353219,5325.347646774021
070801030406,rye,3740.000005756664,3739.9999863331786,3740.0000251801494
070801030407,prairie,5036.558879212081,4355.017313052893,5718.1004453712685
070801030407,rye,3740.000009230659,3739.999989104373,3740.000029356945
070801030408,prairie,3933.219783512674,3124.117336246347,4742.322230779001
070801030408,rye,3740.0000233199976,3739.9999879438838,3740.0000586961114
070801030409,prairie,2965.815359269679,1489.5084536076704,4442.122264931688
070801030409,rye,3739.999972303509,3739.9999312266928,3740.000013380325
070801030601,prairie,4875.516270747504,3809.4727275486453,5941.559813946362
070801030601,rye,3740.000004028699,3739.9999699842574,3740.000038073141
070801030602,prairie,3700.2415911899107,1895.612785390479,5504.870396989342
070801030602,rye,3740.0000021837004,3739.999968085011,3740.00003628239
070801030603,prairie,6466.2626909371775,5180.428483909684,7752.096897964671
070801030603,rye,3740.000027798446,3739.999994860658,3740.000060736234
070801030604,prairie,8017.59455292564,-405.3875467238968,16440.576652575175
070801030604,rye,3740.0000072420617,3739.999881869686,3740.0001326144375
070801030605,prairie,5199.111013300697,3275.6233060328877,7122.598720568506
070801030605,rye,3740.0000434762774,3739.9999937118605,3740.0000932406942
070801030606,prairie,6500.016377284214,3748.2394031971194,9251.793351371309
070801030606,rye,3740.0000338497052,3739.9999935227274,3740.000074176683
070801030607,prairie,2268.7602396835455,775.5888880518037,3761.9315913152873
070801030607,rye,3739.9999831497194,3739.9999292053167,3740.000037094122
070802060301,prairie,6071.1212616696175,4025.2715714858687,8116.970951853366
070802060301,rye,3739.9999966730684,3739.9999559277167,3740.00003741842
070802060302,prairie,4576.61349313154,3547.501297520397,5605.725688742683
070802060302,rye,3740.000004813871,3739.999976911683,3740.0000327160587
070802060406,prairie,5455.606426856261,4174.710883740991,6736.501969971531
070802060406,rye,3739.999998818729,3739.999956779027,3740.0000408584315
070802060407,prairie,1939.935311594092,182.86099101171044,3697.009632176473
070802060407,rye,3740.0000053066246,3739.9999534885073,3740.000057124742
070802060501,prairie,6780.662716800401,5894.851212193572,7666.474221407229
070802060501,rye,3740.0000099163453,3739.9999805978746,3740.000039234816
070802060502,prairie,6259.273620855705,5511.797996505227,7006.749245206183
070802060502,rye,3739.9999888095317,3739.9999661510565,3740.000011468007
070802060503,prairie,6926.205603153706,4151.262224713473,9701.148981593939
070802060503,rye,3739.9999756001416,3739.9999281602445,3740.0000230400387
070802060601,prairie,7785.076435831609,6854.302920513944,8715.849951149276
070802060601,rye,3740.000022880549,3739.999998807387,3740.000046953711
070802060602,prairie,6551.480866200921,5962.950952206535,7140.010780195307
070802060602,rye,3739.9999985317068,3739.999975778987,3740.0000212844266
070802060603,prairie,4561.992956517555,3489.1801563101117,5634.805756724999
070802060603,rye,3739.9999957299115,3739.9999746378126,3740.0000168220104
070802060704,prairie,5750.122527422111,4721.305075295056,6778.939979549165
070802060704,rye,3740.0000140201705,3739.999981241077,3740.000046799264
070802060801,prairie,3267.5024449468374,2350.1872296887564,4184.817660204919
070802060801,rye,3740.0000189618745,3739.999983318994,3740.000054604755
070802060802,prairie,4484.74970560217,2812.662597669643,6156.836813534697
070802060802,rye,3740.0000075156263,3739.999958371169,3740.0000566600834
070802060803,prairie,2933.7033351368786,1564.2639394724033,4303.1427308013535
070802060803,rye,3740.00000547741,3739.9999660589788,3740.0000448958413
070802060804,prairie,3953.2372697481924,2725.7931198750443,5180.68141962134
070802060804,rye,3739.9999850751315,3739.9999343922555,3740.0000357580075
070802060805,prairie,3224.604754162768,-3077.460280933678,9526.669789259215
070802060805,rye,3739.999961330454,3739.9997871524283,3740.0001355084796
